Sample,Date,Publication,OCR Text,Ground Truth,Image Patch,CER_init,WER_init,Model Correction,CER_post,WER_post,CER Reduction (%),WER Reduction (%)
3200797034,1882-05-27,Illustrated Police News,SERVANTS AND THEIR SWEETHEARTS. . A I I . 1 _ I I _ - -__s _ -__,SERVANTS AND THEIR SWEETHEARTS.,3200797034-1.tif,1.064516129032258,3.5,SERVANTS AND THEIR SWEETHEARTS.,0.0,0.0,100.0,100.0
3200797034,1882-05-27,Illustrated Police News,"OT Saturday, at the Croydofi petty sessions, Percy Davis, alias Gordon, a clerk, and Robert Everett, alias Davenport (two fashionably-attired young mneo, 'of 47 Auicknlad-roid, Vauxhall), and Elizabeth Wil- liams, described t a ageniral servant, wiei charged on 'remand with being concerned togetlhir in stealing from the diwellifi-hoilse, .3 Pcior-terrace'St. Janiel's- road, Croydon, since October, 1S81, toiv. gold chains, two diamond rings, two cameo brooches, two gold seals, three gold pins, some silver forks and spoons, and about £20 in silver money, the property of Mary Ann Cosens, valued altogether at about £50 and Robert Everett, father of the prisoner of that name, was ctlarged with receiving the property well knoiving it to have been' stolen, and he wvas further charged with uinlawefully pledging tile same.","ON Saturday, at the Croydon petty sessions, Percy Davis, alias Gordon, a clerk, and Robert Everett, alias Davenport (two fashionably-attired young men, of 47 Auckland-road, Vauxhall), and Elizabeth Williams described as a general servant, were charged on remand with being concerned together in stealing from the dwelling-house, 3 Prior-terrace, St. James's road, Croydon, since October 1881, two gold chains, two diamond rings, two cameo brooches, two gold seals, three gold pins, some silver forks and spoons, and about £20 in silver money, the property of Mary Ann Cosens, valued altogether at about £50; and Robert Everett, father of the prisoner of that name, was charged with receiving the property well knowing it to have been stolen, and he was further charged with unlawfully pledging the same.",3200797034-2.tif,0.0660024906600249,0.2142857142857142,"On Saturday, at the Croydon petty sessions, Percy Davis, alias Gordon, a clerk, and Robert Everett, alias Davenport (two fashionably-attired young men, of 47 Buckingham-road, Vauxhall), and Elizabeth Williams, described as a general servant, were charged on remand with being concerned together in stealing from the dwelling-house, 3 Percy-terrace, St. John's-road, Croydon, since October, 1881, to wit, gold chains, two diamond rings, two cameo brooches, two gold seals, three gold pins, some silver forks and spoons, and about £20 in silver money, the property of Mary Ann Cosens, valued altogether at about £50, and Robert Everett, father of the prisoner of that name, was charged with receiving the property well knowing it to have been stolen, and he was further charged with unlawfully pledging the same.",0.031133250311332503,0.07936507936507936,52.83018867924528,62.962962962962955
3200797034,1882-05-27,Illustrated Police News,The last-ntintd prisoner was for some years a superih- tendent in the Dorsctsliire constabulary.,The last-named prisoner was for some years a superintendent in the Dorsetshire constabulary.,3200797034-3.tif,0.108695652173913,0.3076923076923077,The last-named prisoner was for some years a superintendent in the Dorsetshire constabulary.,0.0,0.0,100.0,100.0
3200797034,1882-05-27,Illustrated Police News,"Mr. Young, wvho appeared for the prosecution, said that his client, Mrs. Cosens, was an nvalid lady eighty-two years. of 'age, and quite unable to attend the court owing to her infirmity..","Mr. Young, who appeared for the prosecution, said that his client, Mrs. Cosens, was an invalid lady eighty-two years of age, and quite unable to attend the court owing to her infirmity.",3200797034-4.tif,0.027027027027027,0.15625,"Mr. Young, who appeared for the prosecution, said that his client, Mrs. Cosens, was an invalid lady eighty-two years of age, and quite unable to attend the court owing to her infirmity.",0.0,0.0,100.0,100.0
3200797034,1882-05-27,Illustrated Police News,"In September last she engaged the female 'prisoner as a confidential servant and attendant, 'and 'sheb was the oi ly persob who hdd atcess tb' the jewellery.","In September last she engaged the female prisoner as a confidential servant and attendant, and she was the only person who had access to the jewellery.",3200797034-5.tif,0.0728476821192053,0.3461538461538461,"In September last she engaged the female prisoner as a confidential servant and attendant, and she was the only person who had access to the jewellery.",0.0,0.0,100.0,100.0
3200797034,1882-05-27,Illustrated Police News,"Shortly after entering Mrs. COsess""s'ervice she formed the acquttintance of the prisoner Davis, and at the time, under the pretence of paying, his addresses to the girl, he gained admission to the house, rind there was no doubt that he had made the place hlis home.","Short after entering Mrs. Cosens' service she formed the acquaintance of the prisoner Davis, and at the time under the pretence of paying his addresses to the girl, he gained admission to the house, and there was no doubt that he had made the place his home.",3200797034-6.tif,0.0542635658914728,0.1702127659574468,"Shortly after entering Mrs. Cozens's service she formed the acquaintance of the prisoner Davis, and at the time, under the pretence of paying his addresses to the girl, he gained admission to the house, and there was no doubt that he had made the place his home.",0.01937984496124031,0.06382978723404255,64.28571428571423,62.5
3200797034,1882-05-27,Illustrated Police News,"le had.evidently slept on the premises, and enticed the girl to steal her mistress's jewellery, hvlich he took away and pledged, and spent the proceeds about the towin; Everett shortly afterwards came upon the scene, and carried out the sarne- kind of proceeding. Emily Barlow, cook to the prosecutrix, stated that the prisoners first canje to the house in solditeis' clothes, which they afterw'ards exchaieged for civilian dresses.","He had evidently slept on the premises, and enticed the girl to steal her mistress's jewellery, which he took away and pledged, and spent the proceeds about the town; Everett shortly afterwards came upon the scene, and carried out the same kind of proceeding, Emily Barlow, cook to the prosecutrix, stated that the prisoners first came to the house in soldiers' clothes, which they afterwards exchanged for civilian dresses.",3200797034-7.tif,0.0400943396226415,0.1594202898550724,"He had evidently slept on the premises, and enticed the girl to steal her mistress's jewellery, which he took away and pledged, and spent the proceeds about the town. Everett shortly afterwards came upon the scene, and carried out the same kind of proceeding. Emily Barlow, cook to the prosecutrix, stated that the prisoners first came to the house in soldiers' clothes, which they afterwards exchanged for civilian dresses.",0.0047169811320754715,0.028985507246376812,88.23529411764706,81.81818181818181
3200797034,1882-05-27,Illustrated Police News,"Theoy used to et uIp to bliaklfst about half-past eleven o'clock iin the morIiieg, and helped theniselves to 'dinner, the witness cookeng the siat pnirhised~out of her mistress's money.","They used to get up to breakfast about half-past eleven o'clock in the morning, and helped themselves to dinner, the witness cooking the meat purchased out of her mistress's money.",3200797034-8.tif,0.1222222222222222,0.4,"The prisoner used to get up to blacksmith about half-past eleven o'clock in the morning, and helped themselves to dinner, the witness cooking the meat purchased out of her mistress's money.",0.08888888888888889,0.1,27.27272727272726,75.00000000000001
3200797034,1882-05-27,Illustrated Police News,"Davis was apparently courting Williams, and a servant named Smith, aged: twenty- three, used to visit the house on tlo evenings in the iveek, and keep company with Everett.","Davis was apparently courting Williams, and a servant named Smith, aged twenty-three used to visit the house on two evenings in the week, and keep company with Everett.",3200797034-9.tif,0.0357142857142857,0.1785714285714285,"Davis was apparently courting Williams, and a servant named Smith, aged twenty-three, used to visit the house on the evenings in the week, and keep company with Everett.",0.017857142857142856,0.07142857142857142,49.99999999999998,59.999999999999986
3200797034,1882-05-27,Illustrated Police News,During the cotertship she 'also slept in the honse.,During the courtship she also slept in the house.,3200797034-10.tif,0.0816326530612244,0.3333333333333333,During the courtship she also slept in the house.,0.0,0.0,100.0,100.0
